WallStreetBets Sentiment Summary
Report generated on: 2025-08-30 20:15:41

--- Data Collection Stats ---
Threads Analyzed: 27
Comments Analyzed: 3143
Images Analyzed (OCR): 19

--- TICKERS WITH UPCOMING EARNINGS (Sorted by Score) ---
ticker,Mentions,Sentiment,Score,Stock Price,Top Play,Top Play Mentions,Options Chatter,Option Price,Breakeven Price,Breakeven % Change,Next Earnings,Earnings Time
FIG,3,0.6486,1.95,70.28,N/A,0.0,0.0,0.0,0.0,0.0,2025-09-03,PM
AVGO,5,0.255,1.28,297.39,AVGO 300C 9/19,1.0,1.0,13.05,313.05,5.27,2025-09-04,PM
NAT,2,0.5648,1.13,3.11,N/A,0.0,0.0,0.0,0.0,0.0,2025-09-01,PM
PD,2,0.4687,0.94,16.74,N/A,0.0,0.0,0.0,0.0,0.0,2025-09-03,PM
ZS,3,0.2083,0.62,277.05,N/A,0.0,0.0,0.0,0.0,0.0,2025-09-02,PM
CRM,3,0.0803,0.24,256.25,N/A,0.0,0.0,0.0,0.0,0.0,2025-09-03,PM
DLTR,2,0.0386,0.08,109.17,N/A,0.0,0.0,0.0,0.0,0.0,2025-09-02,AM
GTLB,2,0.0193,0.04,48.02,N/A,0.0,0.0,0.0,0.0,0.0,2025-09-03,PM
BRC,1,0.0,0.0,78.08,N/A,0.0,0.0,0.0,0.0,0.0,2025-09-04,AM
ASAN,2,0.0,0.0,14.6,N/A,0.0,0.0,0.0,0.0,0.0,2025-09-03,PM
ABM,1,0.0,0.0,49.17,N/A,0.0,0.0,0.0,0.0,0.0,2025-09-05,AM
CRMT,1,0.0,0.0,44.81,N/A,0.0,0.0,0.0,0.0,0.0,2025-09-04,AM
CRDO,1,0.0,0.0,123.055,N/A,0.0,0.0,0.0,0.0,0.0,2025-09-03,PM
CPRT,2,0.0,0.0,48.81,N/A,0.0,0.0,0.0,0.0,0.0,2025-09-04,PM
CPB,1,0.0,0.0,31.93,N/A,0.0,0.0,0.0,0.0,0.0,2025-09-03,AM
BRZE,1,0.0,0.0,27.7,N/A,0.0,0.0,0.0,0.0,0.0,2025-09-04,PM
CHPT,1,0.0,0.0,11.27,N/A,0.0,0.0,0.0,0.0,0.0,2025-09-03,PM
DOCU,1,0.0,0.0,76.66,N/A,0.0,0.0,0.0,0.0,0.0,2025-09-04,PM
CXM,1,0.0,0.0,8.64,N/A,0.0,0.0,0.0,0.0,0.0,2025-09-03,AM
HPE,1,0.0,0.0,22.57,N/A,0.0,0.0,0.0,0.0,0.0,2025-09-03,PM
GWRE,1,0.0,0.0,217.02,N/A,0.0,0.0,0.0,0.0,0.0,2025-09-04,PM
FLWS,1,0.0,0.0,5.6,N/A,0.0,0.0,0.0,0.0,0.0,2025-09-04,AM
HQY,1,0.0,0.0,89.33,N/A,0.0,0.0,0.0,0.0,0.0,2025-09-02,PM
REVG,1,0.0,0.0,53.21,N/A,0.0,0.0,0.0,0.0,0.0,2025-09-03,AM
SCVL,1,0.0,0.0,20.9,N/A,0.0,0.0,0.0,0.0,0.0,2025-09-03,N/A
SWBI,1,0.0,0.0,8.17,N/A,0.0,0.0,0.0,0.0,0.0,2025-09-04,PM
TTC,1,0.0,0.0,81.06,N/A,0.0,0.0,0.0,0.0,0.0,2025-09-04,AM


--- OTHER TICKERS (Sorted by Score) ---
ticker,Mentions,Sentiment,Score,Stock Price,Top Play,Top Play Mentions,Options Chatter,Option Price,Breakeven Price,Breakeven % Change,Next Earnings,Earnings Time
RH,14,0.72,10.08,225.67,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
UNH,7,0.7869,5.51,309.87,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
NVDA,10,0.5236,5.24,174.18,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
HE,5,0.7745,3.87,12.96,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
GOOG,5,0.7647,3.82,213.53,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
OPEN,9,0.4214,3.79,4.45,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
AMD,5,0.6587,3.29,162.63,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
HOOD,4,0.7891,3.16,104.03,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
GE,4,0.7847,3.14,275.2,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
SOFI,3,0.8722,2.62,25.54,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
SNAP,2,0.9814,1.96,7.14,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
TSLA,2,0.9735,1.95,333.87,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
LLY,7,0.2723,1.91,732.58,LLY 730P 10/17,1.0,3.0,27.0,703.0,-4.04,N/A,N/A
PLTR,2,0.8086,1.62,156.71,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
AAPL,2,0.8042,1.61,232.14,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
CVNA,2,0.807,1.61,371.92,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
MSTR,2,0.8069,1.61,334.41,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
KYTX,5,0.3148,1.57,3.71,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
YOU,7,0.2168,1.52,36.31,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
WAY,2,0.7545,1.51,37.88,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
VFC,1,0.9956,1.0,15.13,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
AR,1,0.9865,0.99,31.92,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
RSI,2,0.4727,0.95,22.3,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
DNA,2,0.4414,0.88,12.67,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
SA,1,0.8225,0.82,17.44,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
IP,5,0.1634,0.82,49.68,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
DNN,1,0.8225,0.82,2.32,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
SCM,1,0.8225,0.82,14.53,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
VAL,1,0.8225,0.82,49.67,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
TEM,1,0.8091,0.81,75.86,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
MCD,1,0.8091,0.81,313.54,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
INTC,1,0.8091,0.81,24.35,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
HD,1,0.8091,0.81,406.77,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
META,1,0.8091,0.81,738.7,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
LYFT,1,0.8091,0.81,16.22,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
DUOL,1,0.8091,0.81,297.86,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
DRI,1,0.8091,0.81,206.94,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
AMZN,1,0.8091,0.81,229.0,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
CAKE,1,0.8091,0.81,61.46,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
CBOE,1,0.8091,0.81,235.95,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
TR,1,0.8091,0.81,40.21,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
UBER,1,0.8091,0.81,93.75,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
NKE,1,0.8091,0.81,77.37,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
TGT,1,0.8091,0.81,95.98,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
UI,4,0.2011,0.8,528.13,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
